Date_time,country,UFO_shape
10/1/1996 08:00,us,oval
10/1/1996 17:00,us,sphere
10/1/1996 18:00,us,sphere
10/1/1996 22:30,us,fireball
10/1/1997 00:00,us,triangle
10/1/1997 01:20,us,rectangle
10/1/1997 03:00,us,other
10/1/1997 08:00,,rectangle
10/1/1997 09:00,us,cigar
10/1/1997 19:00,us,light
10/1/1997 19:00,us,triangle
10/1/1997 21:00,us,triangle
10/1/1997 21:30,us,triangle
10/1/1997 21:30,us,light
10/1/1997 21:55,us,other
10/1/1997 22:00,us,triangle
10/1/1997 23:15,us,light
10/1/1998 00:00,us,triangle
10/1/1998 00:10,us,light
10/1/1998 01:30,us,fireball
10/1/1998 02:00,us,disk
10/1/1998 04:30,us,fireball
10/1/1998 05:30,us,light
10/1/1998 10:00,us,sphere
10/1/1998 13:30,us,disk
10/1/1998 16:00,us,fireball
10/1/1998 18:50,us,fireball
10/1/1998 18:56,us,oval
10/1/1998 21:00,us,triangle
10/1/1998 21:00,gb,fireball
10/1/1998 21:02,,formation
10/1/1998 21:15,us,triangle
10/1/1998 23:10,us,other
10/1/1999 00:30,us,fireball
10/1/1999 01:00,us,light
10/1/1999 04:00,us,light
10/1/1999 04:40,us,triangle
10/1/1999 17:00,us,unknown
10/1/1999 18:12,us,cigar
10/1/1999 19:00,us,light
10/1/1999 19:00,,light
10/1/1999 20:00,us,unknown
10/1/1999 22:05,us,chevron
10/1/1999 23:00,,formation
10/1/2000 01:00,us,formation
10/1/2000 01:30,us,disk
10/1/2000 09:00,ca,cigar
10/1/2000 13:00,,disk
10/1/2000 14:00,us,light
10/1/2000 18:00,us,sphere
10/1/2000 19:40,us,cigar
10/1/2000 20:00,us,unknown
10/1/2000 20:00,us,unknown
10/1/2000 20:00,gb,triangle
10/1/2000 20:00,us,triangle
10/1/2000 21:00,us,other
10/1/2000 21:30,us,light
10/1/2000 21:30,us,light
10/1/2000 22:00,,light
10/1/2000 22:00,us,triangle
10/1/2000 23:15,us,diamond
10/1/2001 01:05,us,
10/1/2001 19:00,us,light
10/1/2001 20:30,us,triangle
10/1/2001 20:35,us,oval
10/1/2001 21:00,,triangle
10/1/2001 21:00,us,changing
10/1/2001 22:00,us,light
10/1/2001 22:30,us,flash
10/1/2001 24:00,,other
10/1/2002 00:30,us,circle
10/1/2002 00:30,,formation
10/1/2002 03:00,us,oval
10/1/2002 05:30,us,other
10/1/2002 05:30,us,fireball
10/1/2002 05:30,us,sphere
10/1/2002 05:30,us,circle
10/1/2002 05:35,us,triangle
10/1/2002 05:35,us,unknown
10/1/2002 05:42,us,teardrop
10/1/2002 05:43,us,other
10/1/2002 05:45,us,unknown
10/1/2002 05:45,us,fireball
10/1/2002 05:45,us,light
10/1/2002 06:30,us,light
10/1/2002 06:30,,light
10/1/2002 07:30,us,cigar
10/1/2002 09:00,us,cigar
10/1/2002 13:35,,cross
10/1/2002 14:00,us,other
10/1/2002 15:00,us,teardrop
10/1/2002 16:00,us,fireball
10/1/2002 17:56,us,fireball
10/1/2002 18:00,us,other
10/1/2002 19:20,us,egg
10/1/2002 19:50,us,light
10/1/2002 20:30,us,other
10/1/2002 22:00,us,unknown
10/1/2002 22:30,us,unknown
10/1/2002 23:20,us,changing
10/1/2003 00:00,us,circle
10/1/2003 00:20,us,light
10/1/2003 02:00,ca,unknown
10/1/2003 05:40,us,other
10/1/2003 16:00,us,unknown
10/1/2003 18:15,,cigar
10/1/2003 20:05,us,unknown
10/1/2003 21:00,us,light
10/1/2003 21:00,us,sphere
10/1/2003 21:30,us,other
10/1/2003 22:00,us,circle
10/1/2003 22:30,ca,other
10/1/2003 22:40,,light
10/1/2003 23:00,us,light
10/1/2004 16:00,us,unknown
10/1/2004 17:00,us,cylinder
10/1/2004 20:00,us,oval
10/1/2004 20:27,us,triangle
10/1/2004 20:50,us,unknown
10/1/2004 22:20,,other
10/1/2004 23:00,gb,fireball
10/1/2004 23:00,us,sphere
10/1/2004 23:15,ca,circle
10/1/2005 00:00,,light
10/1/2005 00:00,us,light
10/1/2005 00:00,us,circle
10/1/2005 00:30,us,light
10/1/2005 00:40,us,diamond
10/1/2005 00:53,us,circle
10/1/2005 00:55,,light
10/1/2005 00:57,us,light
10/1/2005 00:57,us,light
10/1/2005 01:00,us,light
10/1/2005 01:00,us,changing
10/1/2005 01:00,us,light
10/1/2005 01:00,,formation
10/1/2005 01:00,us,circle
10/1/2005 01:00,us,circle
10/1/2005 01:00,us,formation
10/1/2005 01:00,us,triangle
10/1/2005 01:00,us,triangle
10/1/2005 01:03,us,light
10/1/2005 01:08,us,light
10/1/2005 01:10,us,light
10/1/2005 01:10,us,light
10/1/2005 01:10,us,other
10/1/2005 01:10,us,changing
10/1/2005 01:10,us,triangle
10/1/2005 01:10,us,cylinder
10/1/2005 01:10,us,light
10/1/2005 01:10,us,unknown
10/1/2005 03:00,us,light
10/1/2005 06:30,us,circle
10/1/2005 08:22,us,light
10/1/2005 09:30,us,disk
10/1/2005 12:00,us,sphere
10/1/2005 15:00,us,oval
10/1/2005 17:00,us,formation
10/1/2005 18:00,us,teardrop
10/1/2005 19:00,,triangle
10/1/2005 19:58,us,triangle
10/1/2005 20:05,us,light
10/1/2005 20:05,us,chevron
10/1/2005 20:08,ca,light
10/1/2005 20:30,us,unknown
10/1/2005 21:30,us,unknown
10/1/2005 21:30,us,light
10/1/2005 21:35,gb,light
10/1/2005 22:00,us,unknown
10/1/2005 22:30,,other
10/1/2005 23:00,us,light
10/1/2006 01:00,us,oval
10/1/2006 01:00,us,oval
10/1/2006 01:20,,teardrop
10/1/2006 01:30,us,circle
10/1/2006 02:20,us,other
10/1/2006 06:00,,triangle
10/1/2006 12:30,us,rectangle
10/1/2006 14:00,us,circle
10/1/2006 14:00,us,oval
10/1/2006 15:05,us,cigar
10/1/2006 16:50,,other
10/1/2006 17:00,us,unknown
10/1/2006 17:00,us,chevron
10/1/2006 18:30,,disk
10/1/2006 19:20,us,oval
10/1/2006 19:45,us,fireball
10/1/2006 19:48,us,
10/1/2006 20:18,us,fireball
10/1/2006 20:19,us,fireball
10/1/2006 20:24,us,circle
10/1/2006 20:34,us,teardrop
10/1/2006 21:00,us,unknown
10/1/2006 21:00,,unknown
10/1/2006 21:00,us,light
10/1/2006 21:15,us,sphere
10/1/2006 21:35,,changing
10/1/2006 22:00,us,fireball
10/1/2006 22:15,,light
10/1/2006 22:18,us,fireball
10/1/2006 23:00,us,
10/1/2006 23:00,us,changing
10/1/2006 23:00,us,light
10/1/2006 23:00,us,cylinder
10/1/2006 23:15,us,oval
10/1/2006 23:15,us,light
10/1/2006 23:15,,changing
10/1/2006 23:15,us,circle
10/1/2006 23:15,,formation
10/1/2006 23:15,us,unknown
10/1/2006 23:15,us,fireball
10/1/2006 23:15,us,light
10/1/2006 23:15,us,sphere
10/1/2006 23:15,us,light
10/1/2006 23:15,us,formation
10/1/2006 23:17,us,circle
10/1/2006 23:20,us,sphere
10/1/2006 23:20,us,fireball
10/1/2006 23:20,,light
10/1/2006 23:20,us,formation
10/1/2006 23:20,us,formation
10/1/2006 23:20,us,formation
10/1/2006 23:20,us,light
10/1/2006 23:27,us,other
10/1/2006 23:30,us,light
10/1/2006 23:32,us,light
10/1/2006 23:40,us,circle
10/1/2007 00:00,us,diamond
10/1/2007 00:00,us,flash
10/1/2007 00:02,us,oval
10/1/2007 01:00,ca,circle
10/1/2007 02:00,au,oval
10/1/2007 02:30,,light
10/1/2007 09:50,us,light
10/1/2007 13:00,us,oval
10/1/2007 17:10,us,sphere
10/1/2007 19:00,us,triangle
10/1/2007 20:00,us,light
10/1/2007 20:00,ca,disk
10/1/2007 20:00,us,light
10/1/2007 21:00,us,unknown
10/1/2007 21:00,us,other
10/1/2007 21:00,us,triangle
